---

$ .venv/bin/python -c "
import csv
import re

valid_pattern = re.compile(r'^[0-9]{6}/[0-9]{3}\$')

with open('entust/eksponaat.csv', 'r', encoding='utf-8') as f:
    reader = csv.reader(f)
    next(reader)  # Skip header
    count = 0
    for row in reader:
        entu_id = row[0] if len(row) > 0 else ''
        code = row[5] if len(row) > 5 else ''
        
        # Catch both missing and invalid codes
        if not code or not valid_pattern.match(code):
            count += 1
            status = 'MISSING' if not code else 'INVALID'
            print(f'{count},{entu_id},{code},{status}')
" > vigaseid_koode.csv

---

369,52964e4bbdf9203d66ccf92c,f000066/051,INVALID
370,52964e4bbdf9203d66ccf92d,f000066/052,INVALID
371,52964e4bbdf9203d66ccf92e,f000066/053,INVALID
372,52964e4bbdf9203d66ccf92f,f000066/054,INVALID
373,52964e4bbdf9203d66ccf930,f000066/055,INVALID
374,52964e4bbdf9203d66ccf931,f000066/056,INVALID
375,52964e4bbdf9203d66ccf932,f000148/006,INVALID
376,52964e4bbdf9203d66ccf933,f000148/007,INVALID
377,52964e4bbdf9203d66ccf934,f000148/008,INVALID
378,52964e4bbdf9203d66ccf935,f000148/009,INVALID
379,52964e4bbdf9203d66ccf936,f000148/010,INVALID
380,52964e4bbdf9203d66ccf937,f000149/001,INVALID
381,52964e4bbdf9203d66ccf938,f000149/002,INVALID
382,52964e4bbdf9203d66ccf939,f000149/003,INVALID
383,52964e4bbdf9203d66ccf93a,f000149/004,INVALID
384,52964e4bbdf9203d66ccf93b,f000149/005,INVALID
385,52964e4bbdf9203d66ccf93c,f000149/006,INVALID
386,52964e4bbdf9203d66ccf93d,f000149/007,INVALID
387,52964e4bbdf9203d66ccf93e,f000066/057,INVALID
388,52964e4bbdf9203d66ccf93f,f000066/058,INVALID
389,52964e4bbdf9203d66ccf940,f000066/059,INVALID
